Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,return_1d,sma_5,sma_20,volatility_10,return_lag_1,return_lag_2,target_up_next_day
2024-07-22,225.06041535891617,225.82380677595344,221.174082433242,222.03662109375,48201800,0.0,0.0,AAPL,,,,,,,1
2024-07-23,222.44310313331528,224.9910392063895,220.7676144514488,223.07760620117188,39960300,0.0,0.0,AAPL,0.004688348716054058,,,,,,0
2024-07-24,222.07627816799848,222.86941075843336,215.26528287042115,216.6631622314453,61777600,0.0,0.0,AAPL,-0.028754315948423814,,,,0.004688348716054058,,0
2024-07-25,217.0497975364767,218.95332167523745,212.77681471652627,215.62217712402344,51391200,0.0,0.0,AAPL,-0.004804624361154031,,,,-0.028754315948423814,0.004688348716054058,1
2024-07-26,216.8217851678197,217.6050090608147,214.15488466672127,216.0881500244141,41601300,0.0,0.0,AAPL,0.002161062032699057,218.69754333496093,,,-0.004804624361154031,-0.028754315948423814,1
2024-07-29,215.0967318967012,217.41663210574904,213.8971168447476,216.36573791503903,36311800,0.0,0.0,AAPL,0.0012846048734906912,217.56336669921876,,,0.002161062032699057,-0.004804624361154031,1
2024-07-30,217.3075789949067,218.43778796730905,214.2639371695869,216.92092895507812,41643800,0.0,0.0,AAPL,0.0025659840850453808,216.33203125,,,0.0012846048734906912,0.002161062032699057,1
2024-07-31,219.53827220377053,221.89783756706777,218.7352309170003,220.1727752685547,50036300,0.0,0.0,AAPL,0.014990929317613144,217.03395385742186,,,0.0025659840850453808,0.0012846048734906912,0
2024-08-01,222.44309097566543,222.5521468936059,215.1562223313537,216.48471069335935,62501000,0.0,0.0,AAPL,-0.016750774798095946,217.20646057128906,,,0.014990929317613144,0.0025659840850453808,1
2024-08-02,217.2679231335739,223.66254232334137,215.84030263063204,217.97183227539065,105568600,0.0,0.0,AAPL,0.006869406976909964,217.58319702148438,,,-0.016750774798095946,0.014990929317613144,0
2024-08-05,197.3802115476467,211.6664621054212,194.3167520967801,207.47279357910156,119548600,0.0,0.0,AAPL,-0.04816695160420714,215.8046081542969,,0.0192147065189445,0.006869406976909964,-0.016750774798095946,0
2024-08-06,203.53688424769564,208.18660889381388,199.3432157724579,205.45030212402344,69660500,0.0,0.0,AAPL,-0.009748224912713765,213.51048278808594,,0.018811134813093294,-0.04816695160420714,0.006869406976909964,1
2024-08-07,205.12313014700663,211.80525225793107,204.61751548926864,208.01806640625,63516400,0.0,0.0,AAPL,0.012498225875941849,211.079541015625,,0.018278400093139486,-0.009748224912713765,-0.04816695160420714,1
2024-08-08,211.27982425167653,212.36045976406425,207.03658185433545,211.4781036376953,47161100,0.0,0.0,AAPL,0.016633349647083184,210.07821960449218,,0.019385478336505314,0.012498225875941849,-0.009748224912713765,1
2024-08-09,210.27848952903548,214.91829038971977,210.1496011292121,214.3829345703125,42201600,0.0,0.0,AAPL,0.01373584727047561,209.36044006347657,,0.01998239322104396,0.016633349647083184,0.012498225875941849,1
2024-08-12,214.46232494953352,217.8767166928247,213.99582080224636,215.9114532470703,38028100,0.25,0.0,AAPL,0.007129852382240287,211.0481719970703,,0.020128887347401273,0.01373584727047561,0.016633349647083184,1
2024-08-13,217.38041762791795,220.23899340025184,217.38041762791795,219.6236114501953,44155300,0.0,0.0,AAPL,0.017192965668556326,213.8828338623047,,0.020856325644159783,0.007129852382240287,0.01373584727047561,1
2024-08-14,218.92885985517657,221.37054778476931,218.06532277692483,220.07029724121097,41960600,0.0,0.0,AAPL,0.0020338696193280548,216.29328002929688,,0.020316313887297283,0.017192965668556326,0.007129852382240287,1
2024-08-15,222.9288713384501,223.67329096872731,221.10255033510867,223.0479736328125,46414000,0.0,0.0,AAPL,0.013530569226876787,218.6072540283203,,0.01976787414294706,0.0020338696193280548,0.017192965668556326,1
2024-08-16,222.2539159800548,225.1422676891868,221.98592068094572,224.3680725097656,44340200,0.0,0.0,AAPL,0.005918452678374431,220.60428161621093,216.5613655090332,0.019750384740411176,0.013530569226876787,0.0020338696193280548,0
2024-08-19,224.0405257400108,224.30852103873067,221.38045847347976,224.20925903320312,40687800,0.0,0.0,AAPL,-0.0007078256491040991,222.2638427734375,216.66999740600585,0.008653573847670435,0.005918452678374431,0.013530569226876787,1
2024-08-20,224.09014645304697,225.4797235950926,223.772520166148,224.8246307373047,30299000,0.0,0.0,AAPL,0.0027446310948757713,223.30404663085938,216.7573486328125,0.006458638321739287,-0.0007078256491040991,0.005918452678374431,0
2024-08-21,224.8345868015738,226.28371522001356,223.375523094966,224.71546936035156,34765500,0.0,0.0,AAPL,-0.00048554011451118484,224.2330810546875,217.15996398925782,0.006977341766073904,0.0027446310948757713,-0.0007078256491040991,0
2024-08-22,226.09512887719345,226.64103964823343,222.2340729078472,222.85939025878903,43695300,0.0,0.0,AAPL,-0.008259685489591884,224.19536437988282,217.5218246459961,0.007850728999486883,-0.00048554011451118484,0.0027446310948757713,1
2024-08-23,223.98097823318813,226.52192810531065,222.66087229355688,225.15219116210935,38677300,0.0,0.0,AAPL,0.010288105431222272,224.35218811035156,217.97502670288085,0.0075064375063368756,-0.008259685489591884,-0.00048554011451118484,1
2024-08-26,225.0727813784282,225.58891654674125,222.22414052811973,225.4896545410156,30602200,0.0,0.0,AAPL,0.0014988234276755996,224.60826721191407,218.43122253417968,0.007534943647651888,0.010288105431222272,-0.008259685489591884,1
2024-08-27,224.31844891527624,227.14724957253156,223.2167072550591,226.33334350585935,35934600,0.0,0.0,AAPL,0.0037415861342333656,224.910009765625,218.90184326171874,0.006046092728417999,0.0014988234276755996,0.010288105431222272,0
2024-08-28,226.22414704916855,228.14971479709,224.0008084384826,224.80479431152344,38052200,0.0,0.0,AAPL,-0.006753530746548386,224.92787475585936,219.1334442138672,0.0067987396022032446,0.0037415861342333656,0.0014988234276755996,1
2024-08-29,228.3879521456165,231.1869621230462,227.1770283167567,228.0802459716797,51906300,0.0,0.0,AAPL,0.014570203763614176,225.9720458984375,219.7132209777832,0.006997130542544142,-0.006753530746548386,0.0037415861342333656,0
2024-08-30,228.47724488086783,228.6856738682084,225.7874023115728,227.2960968017578,52990800,0.0,0.0,AAPL,-0.0034380407061611606,226.40082702636718,220.17943420410157,0.007078007580180244,0.014570203763614176,-0.006753530746548386,0
2024-09-03,226.8494805883163,227.2961293418145,219.52438650802387,221.11248779296875,50190600,0.0,0.0,AAPL,-0.027205082250850388,225.5253936767578,220.8614189147949,0.011499926357876097,-0.0034380407061611606,0.014570203763614176,0
2024-09-04,220.01072730838987,220.1298295937355,215.86182100754215,219.20675659179688,43840200,0.0,0.0,AAPL,-0.008618831166859464,224.1000762939453,221.5492416381836,0.011613448679036733,-0.027205082250850388,-0.0034380407061611606,1
