Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2024-07-22,225.06041535891617,225.82380677595344,221.174082433242,222.03662109375,48201800,0.0,0.0,AAPL
2024-07-23,222.44310313331528,224.9910392063895,220.7676144514488,223.07760620117188,39960300,0.0,0.0,AAPL
2024-07-24,222.07627816799848,222.86941075843336,215.26528287042115,216.6631622314453,61777600,0.0,0.0,AAPL
2024-07-25,217.0497975364767,218.95332167523742,212.77681471652627,215.62217712402344,51391200,0.0,0.0,AAPL
2024-07-26,216.8217851678197,217.6050090608147,214.15488466672127,216.08815002441406,41601300,0.0,0.0,AAPL
2024-07-29,215.0967318967012,217.41663210574902,213.89711684474761,216.36573791503906,36311800,0.0,0.0,AAPL
2024-07-30,217.3075789949067,218.43778796730905,214.2639371695869,216.92092895507812,41643800,0.0,0.0,AAPL
2024-07-31,219.53827220377053,221.89783756706774,218.73523091700034,220.1727752685547,50036300,0.0,0.0,AAPL
2024-08-01,222.44309097566543,222.55214689360594,215.15622233135366,216.48471069335938,62501000,0.0,0.0,AAPL
2024-08-02,217.2679231335739,223.66254232334134,215.84030263063204,217.97183227539062,105568600,0.0,0.0,AAPL
2024-08-05,197.3802115476467,211.6664621054212,194.3167520967801,207.47279357910156,119548600,0.0,0.0,AAPL
2024-08-06,203.53688424769564,208.18660889381388,199.3432157724579,205.45030212402344,69660500,0.0,0.0,AAPL
2024-08-07,205.12313014700663,211.80525225793107,204.61751548926864,208.01806640625,63516400,0.0,0.0,AAPL
2024-08-08,211.27982425167653,212.36045976406422,207.03658185433542,211.4781036376953,47161100,0.0,0.0,AAPL
2024-08-09,210.27848952903548,214.91829038971974,210.1496011292121,214.3829345703125,42201600,0.0,0.0,AAPL
2024-08-12,214.46232494953352,217.8767166928247,213.99582080224636,215.9114532470703,38028100,0.25,0.0,AAPL
2024-08-13,217.38041762791795,220.23899340025184,217.38041762791795,219.6236114501953,44155300,0.0,0.0,AAPL
2024-08-14,218.92885985517657,221.37054778476931,218.06532277692483,220.07029724121094,41960600,0.0,0.0,AAPL
2024-08-15,222.9288713384501,223.67329096872731,221.10255033510867,223.0479736328125,46414000,0.0,0.0,AAPL
2024-08-16,222.25391598005478,225.14226768918678,221.98592068094572,224.36807250976562,44340200,0.0,0.0,AAPL
2024-08-19,224.0405257400108,224.30852103873067,221.38045847347976,224.20925903320312,40687800,0.0,0.0,AAPL
2024-08-20,224.09014645304697,225.4797235950926,223.77252016614798,224.8246307373047,30299000,0.0,0.0,AAPL
2024-08-21,224.8345868015738,226.28371522001356,223.37552309496598,224.71546936035156,34765500,0.0,0.0,AAPL
2024-08-22,226.09512887719345,226.64103964823346,222.23407290784718,222.85939025878906,43695300,0.0,0.0,AAPL
2024-08-23,223.98097823318813,226.52192810531062,222.66087229355688,225.15219116210938,38677300,0.0,0.0,AAPL
2024-08-26,225.0727813784282,225.58891654674125,222.22414052811973,225.48965454101562,30602200,0.0,0.0,AAPL
2024-08-27,224.31844891527626,227.14724957253156,223.21670725505913,226.33334350585938,35934600,0.0,0.0,AAPL
2024-08-28,226.22414704916858,228.14971479709,224.0008084384826,224.80479431152344,38052200,0.0,0.0,AAPL
2024-08-29,228.3879521456165,231.18696212304621,227.1770283167567,228.0802459716797,51906300,0.0,0.0,AAPL
2024-08-30,228.47724488086786,228.6856738682084,225.7874023115728,227.2960968017578,52990800,0.0,0.0,AAPL
2024-09-03,226.84948058831634,227.2961293418145,219.52438650802387,221.11248779296875,50190600,0.0,0.0,AAPL
2024-09-04,220.01072730838987,220.1298295937355,215.86182100754215,219.20675659179688,43840200,0.0,0.0,AAPL
2024-09-05,219.98098315180297,223.80232842315377,219.87180099289256,220.72540283203125,36615400,0.0,0.0,AAPL
2024-09-06,222.28371844795942,223.5641288078718,218.1348266072838,219.17701721191406,48423000,0.0,0.0,AAPL
2024-09-09,219.17698492990527,219.62363365317324,215.0975649862482,219.2663116455078,67180000,0.0,0.0,AAPL
2024-09-10,217.29111136152258,219.83206111139577,215.1174037589381,218.47225952148438,51591000,0.0,0.0,AAPL
2024-09-11,219.81224273641337,221.4301044903715,216.26879790334314,221.00331115722656,44587100,0.0,0.0,AAPL
2024-09-12,220.84449248276735,221.8866830044339,218.1844402475294,221.11248779296875,37455600,0.0,0.0,AAPL
2024-09-13,221.91643313573508,222.3730019797634,220.25886075018875,220.84446716308594,36766600,0.0,0.0,AAPL
2024-09-16,214.92882889414335,215.60377723416104,212.32832783334672,214.71047973632812,59357400,0.0,0.0,AAPL
2024-09-17,214.14470101422842,215.2861383219032,212.90400170360138,215.1769561767578,45519300,0.0,0.0,AAPL
2024-09-18,215.9313221513165,221.05293280374121,215.92138686335736,219.04795837402344,59894900,0.0,0.0,AAPL
2024-09-19,223.31597824995185,228.11004268622213,222.95865620671253,227.16709899902344,66781300,0.0,0.0,AAPL
2024-09-20,228.2589097535001,231.3556905514529,225.92638886705737,226.5020751953125,318679900,0.0,0.0,AAPL
2024-09-23,225.64847983003366,227.74278104335218,224.12986496132828,224.7849578857422,54146000,0.0,0.0,AAPL
2024-09-24,226.94872814757065,227.64353192764617,224.05045616714196,225.67825317382812,43556100,0.0,0.0,AAPL
2024-09-25,223.2563961324406,225.59883710649478,222.35317851779175,224.68568420410156,42308700,0.0,0.0,AAPL
2024-09-26,225.60876888531146,226.7998372114188,223.73283210674714,225.82713317871094,36636700,0.0,0.0,AAPL
2024-09-27,226.76013618443497,227.81224676693589,225.60876359989413,226.09510803222656,34026000,0.0,0.0,AAPL
2024-09-30,228.32835965023514,231.26634216308594,227.94126208675945,231.26634216308594,54541900,0.0,0.0,AAPL
2024-10-01,227.81225543239978,227.9412778656533,222.07526286618742,224.52688598632812,63285000,0.0,0.0,AAPL
2024-10-02,224.20925878310885,225.67824256269316,221.360617941662,225.09263610839844,32880600,0.0,0.0,AAPL
2024-10-03,223.46483520314058,225.12240767637772,221.65838486968212,223.9908905029297,34044200,0.0,0.0,AAPL
2024-10-04,226.20429410810965,226.3035561118749,222.46235586119454,225.11248779296875,37245100,0.0,0.0,AAPL
2024-10-07,222.8296017820206,224.01074997862722,219.68319006872073,220.04051208496094,39505400,0.0,0.0,AAPL
2024-10-08,222.63110049734397,224.298593199742,221.58890998571715,224.0901641845703,31855700,0.0,0.0,AAPL
2024-10-09,223.55416342639623,228.0405364361267,223.15714569962594,227.83209228515625,33591100,0.0,0.0,AAPL
2024-10-10,226.08521111865923,227.7924147414137,225.47974919262126,227.33583068847656,28183500,0.0,0.0,AAPL
2024-10-11,227.5939128444124,227.70309500312143,225.64848941975737,225.85693359375,31759200,0.0,0.0,AAPL
