Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2024-07-22,180.96201840623203,182.89717262519915,180.5154315426945,181.95440673828125,16303900,0.0,0.0,GOOG
2024-07-23,182.44067817098954,183.8101789962444,181.9345655429213,182.2025146484375,23772600,0.0,0.0,GOOG
2024-07-24,174.05501085173125,176.59552287859736,172.24887173433115,173.0427703857422,31250700,0.0,0.0,GOOG
2024-07-25,172.92367446263643,173.86644039100563,167.7632579376176,167.87242126464844,28967900,0.0,0.0,GOOG
2024-07-26,167.48536832056084,168.54721586835882,164.60248168072974,167.3960418701172,25150100,0.0,0.0,GOOG
2024-07-29,169.20222879248618,170.8495972349061,168.4281670217387,169.8274383544922,13768900,0.0,0.0,GOOG
2024-07-30,170.52210944067878,171.63357966072712,168.82511852582647,170.5518798828125,13681400,0.0,0.0,GOOG
2024-07-31,173.58857822803412,174.57104820170923,170.41293835612595,171.83204650878906,15650200,0.0,0.0,GOOG
2024-08-01,170.6709511230792,174.3427851386435,169.2121389779332,171.1373748779297,17177800,0.0,0.0,GOOG
2024-08-02,166.90978626358353,168.91441481744445,165.12348434146207,167.11817932128906,18907800,0.0,0.0,GOOG
2024-08-05,156.17213769389954,164.6769124629333,155.40800962630695,159.41725158691406,34907800,0.0,0.0,GOOG
2024-08-06,159.7199396090336,161.11424393639928,156.92636416723713,159.31800842285156,36146500,0.0,0.0,GOOG
2024-08-07,161.99748068038102,163.53567051802347,159.0203156124621,159.52642822265625,19334200,0.0,0.0,GOOG
2024-08-08,161.1082804298322,164.2402637207567,160.79667510686167,162.5928955078125,15733600,0.0,0.0,GOOG
2024-08-09,160.41462901894477,164.26013411355729,159.7050597963025,164.13111877441406,13549200,0.0,0.0,GOOG
2024-08-12,164.7315045669186,165.4311401931017,162.3051228479513,162.7020721435547,12435000,0.0,0.0,GOOG
2024-08-13,163.92765251968973,165.27233437380846,163.51581805401403,164.66697692871094,12717600,0.0,0.0,GOOG
2024-08-14,162.96009102541905,163.70438225781652,158.31570586108387,160.7966766357422,22515900,0.0,0.0,GOOG
