Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2024-07-22,434.95434740544323,437.72086686190295,432.1189038234256,436.0865478515625,15808800,0.0,0.0,MSFT
2024-07-23,437.0317279223722,441.4522765923751,436.24411798255437,437.967041015625,13107100,0.0,0.0,MSFT
2024-07-24,433.6351347306288,434.6491968195245,420.9740958851319,422.2638244628906,26805800,0.0,0.0,MSFT
2024-07-25,422.1653487650477,423.14987619224735,411.05005574464656,411.92626953125,29943800,0.0,0.0,MSFT
2024-07-26,411.72938578526725,422.28352110182095,410.8137524352177,418.6899719238281,23583800,0.0,0.0,MSFT
2024-07-29,424.90231413559286,425.46350195400487,418.1287909882396,420.12738037109375,15125800,0.0,0.0,MSFT
2024-07-30,421.10209315676275,422.4115014796213,410.90237288373,416.3763732910156,32687600,0.0,0.0,MSFT
2024-07-31,413.9937725831716,415.2539664560443,405.8320320070505,411.8770446777344,42891400,0.0,0.0,MSFT
2024-08-01,414.27924166429307,420.84602178221576,406.6983696065998,410.6561584472656,30296400,0.0,0.0,MSFT
2024-08-02,406.1077265801338,408.57890014493404,398.0838337068482,402.16961669921875,29437900,0.0,0.0,MSFT
2024-08-05,383.1485558976655,394.83489176821496,379.6140759587015,389.0360107421875,40709200,0.0,0.0,MSFT
2024-08-06,393.8109820824443,399.3932659734361,392.33419089963513,393.427001953125,24946500,0.0,0.0,MSFT
2024-08-07,402.31727423535324,403.73496598996115,391.3200904199489,392.2652282714844,20650900,0.0,0.0,MSFT
2024-08-08,396.2131882314223,399.58025493530266,393.75186986205176,396.4593200683594,20203000,0.0,0.0,MSFT
2024-08-09,397.7785627439822,401.7363516629641,396.03596024402367,399.7377624511719,19276700,0.0,0.0,MSFT
2024-08-12,400.7616957993417,402.4354042920839,397.98532149531104,400.51556396484375,16762900,0.0,0.0,MSFT
2024-08-13,403.2525628062739,408.5296451452922,403.23288307516907,407.60418701171875,19414300,0.0,0.0,MSFT
2024-08-14,408.38197108714223,411.2568044389076,406.0683556338293,410.41009521484375,18267000,0.0,0.0,MSFT
2024-08-15,414.0495331175792,415.34158622213624,411.9388626649199,415.2626953125,20752100,0.75,0.0,MSFT
2024-08-16,414.8386210132459,415.56847485047064,411.58380640221424,412.73779296875,22775600,0.0,0.0,MSFT
2024-08-19,413.22105614207504,415.9728470077707,410.75530126947416,415.755859375,15234000,0.0,0.0,MSFT
2024-08-20,415.92353667507666,420.0265262237166,415.86436096713305,418.9810485839844,16387600,0.0,0.0,MSFT
2024-08-21,418.27090283610073,420.55913050260955,415.943244764668,418.3301086425781,16067300,0.0,0.0,MSFT
2024-08-22,418.5470128895962,420.943749113419,408.93057044323126,409.8576965332031,19361900,0.0,0.0,MSFT
2024-08-23,411.26814926800137,413.5169162438492,406.4451188555861,411.08074951171875,18493800,0.0,0.0,MSFT
2024-08-26,410.6665432369522,411.56408163461276,405.7054455704439,407.82598876953125,13152800,0.0,0.0,MSFT
2024-08-27,407.2046472922476,408.68410035771785,404.63041340611323,408.1712341308594,13492900,0.0,0.0,MSFT
2024-08-28,409.19692623598894,409.315277644923,401.73061382710534,404.9755554199219,14882700,0.0,0.0,MSFT
2024-08-29,409.2561363555491,416.26872882049446,404.975589475056,407.4610595703125,17045200,0.0,0.0,MSFT
2024-08-30,409.90708149754283,411.7711764633265,406.4846126518204,411.4259948730469,24308300,0.0,0.0,MSFT
2024-09-03,412.18549199157917,414.128508227764,401.4545209064296,403.8315124511719,20313600,0.0,0.0,MSFT
2024-09-04,400.34985575804666,405.6068322704441,398.8309422223781,403.29888916015625,15135800,0.0,0.0,MSFT
2024-09-05,402.03642661453864,407.44137254737586,400.56684622914446,402.7958984375,14195500,0.0,0.0,MSFT
2024-09-06,403.4566777506577,405.0248942566708,395.30981392110493,396.197509765625,19609500,0.0,0.0,MSFT
2024-09-09,401.66155199530795,403.0522412027111,396.641279237834,400.1623840332031,15295100,0.0,0.0,MSFT
2024-09-10,402.6084339185776,410.62704280907684,402.1152829853601,408.5262451171875,19594300,0.0,0.0,MSFT
2024-09-11,409.8084532189213,418.1821469994098,403.9695325309428,417.24517822265625,19266900,0.0,0.0,MSFT
2024-09-12,417.51145302107784,421.5158363092752,414.0002206806835,421.1509094238281,17395700,0.0,0.0,MSFT
2024-09-13,419.9969653323754,425.9147773030141,419.63203841011375,424.6917724609375,15874600,0.0,0.0,MSFT
2024-09-16,424.70160374609685,427.5914610863902,422.3542004104568,425.43145751953125,13834700,0.0,0.0,MSFT
2024-09-17,434.1997005769437,435.79750485485505,426.3487157034463,429.18927001953125,18874200,0.0,0.0,MSFT
2024-09-18,429.041298505566,430.05718819229855,424.5141766919007,424.90869140625,18898000,0.0,0.0,MSFT
2024-09-19,435.1860014052933,435.452292084435,430.91529729082623,432.6807861328125,21706600,0.0,0.0,MSFT
2024-09-20,431.23091793236443,433.22323693457605,428.27201223229315,429.3076171875,55167100,0.0,0.0,MSFT
2024-09-23,428.33121902605126,430.48135010026584,424.4945200082598,427.57177734375,15128900,0.0,0.0,MSFT
2024-09-24,427.0687217553129,427.4139334394583,420.2632446802758,423.29119873046875,17015800,0.0,0.0,MSFT
2024-09-25,423.94218110016,427.1871231515397,422.69946103119116,426.1909484863281,13396400,0.0,0.0,MSFT
2024-09-26,429.1300753187062,429.33719028271923,423.2517246244965,425.40185546875,14492000,0.0,0.0,MSFT
2024-09-27,425.60900874647825,425.9345052473445,421.61449786891575,422.1569519042969,14896100,0.0,0.0,MSFT
2024-09-30,422.3443029301565,424.5240516705587,419.54320931350645,424.4056701660156,16807300,0.0,0.0,MSFT
2024-10-01,422.58108089859957,422.61066875300435,413.07311568923785,414.9273681640625,19092900,0.0,0.0,MSFT
2024-10-02,416.7914652693021,417.0281982052677,411.00187763203274,411.4161376953125,16582300,0.0,0.0,MSFT
2024-10-03,411.9092940444477,413.8029769595959,408.6150490966078,410.834228515625,13686400,0.0,0.0,MSFT
2024-10-04,412.51087911578094,414.00020455197927,409.28568287863294,410.3607482910156,19169700,0.0,0.0,MSFT
2024-10-07,410.3016170053712,411.39639773757887,403.3975032576847,403.93011474609375,20919800,0.0,0.0,MSFT
2024-10-08,405.2714886364785,409.9662958214234,402.57890342121186,409.029296875,19229300,0.0,0.0,MSFT
2024-10-09,410.1635185105957,414.62162263212304,408.6248898614367,411.7416076660156,14974300,0.0,0.0,MSFT
2024-10-10,409.54216908706456,411.63312440285347,407.49064417755886,410.143798828125,13848400,0.0,0.0,MSFT
2024-10-11,410.4396908978323,411.41612015597997,407.589263932771,410.6172180175781,14144900,0.0,0.0,MSFT
2024-10-14,412.0473312101826,418.2314633461143,411.80075573680847,413.3985900878906,16653100,0.0,0.0,MSFT
2024-10-15,416.3969398711013,416.69284850861214,409.57174739931537,413.0040588378906,18900200,0.0,0.0,MSFT
2024-10-16,409.4829836231505,410.65665522282575,404.85722518493617,410.4199523925781,15508900,0.0,0.0,MSFT
2024-10-17,416.57447660649984,416.7125733271007,409.89722324961605,411.0117492675781,14820000,0.0,0.0,MSFT
2024-10-18,411.42598973201757,413.9015870376485,410.55803924257515,412.4320068359375,17145300,0.0,0.0,MSFT
2024-10-21,410.4199513395574,413.22104518863654,408.08242059822123,413.04351806640625,14206100,0.0,0.0,MSFT
2024-10-22,412.75749822543423,424.68188532771023,412.3136804024992,421.6539611816406,25482200,0.0,0.0,MSFT
2024-10-23,424.9580432083023,425.17503084101816,416.74216121867397,418.7838134765625,19654400,0.0,0.0,MSFT
2024-10-24,419.5038054447286,420.1449258075998,416.61394788419994,418.91204833984375,13581600,0.0,0.0,MSFT
2024-10-25,420.91418182997273,426.5952599466425,420.7267820728724,422.2851257324219,16899100,0.0,0.0,MSFT
2024-10-28,425.74710969864265,426.02327304477956,420.46051551603273,420.7465515136719,14882400,0.0,0.0,MSFT
2024-10-29,422.1372070838931,427.23640107681365,419.96733089551304,426.0331115722656,17644100,0.0,0.0,MSFT
2024-10-30,431.4478786962363,432.4933562372157,426.18103048992214,426.6051330566406,29749100,0.0,0.0,MSFT
2024-10-31,409.67040499598727,410.459464695632,400.734510831916,400.7838439941406,53971000,0.0,0.0,MSFT
2024-11-01,403.40736208449033,409.80845197934053,401.9180365381017,404.74871826171875,24230400,0.0,0.0,MSFT
2024-11-04,404.18650910637746,404.7980415718176,400.01447130701087,402.8648681640625,19672300,0.0,0.0,MSFT
2024-11-05,402.7760918050739,409.2166418436789,402.4900558335031,405.8237609863281,17626000,0.0,0.0,MSFT
2024-11-06,406.77063429083336,414.6906371773605,404.89663664059157,414.42431640625,26681800,0.0,0.0,MSFT
2024-11-07,415.5092700597973,421.0029789570154,414.12845339700306,419.6024169921875,19901800,0.0,0.0,MSFT
2024-11-08,419.4939629624982,420.65779206836214,416.00244554535874,416.7520446777344,16891400,0.0,0.0,MSFT
2024-11-11,416.7322586188732,418.9908983471605,410.3015812107333,412.2840576171875,24503300,0.0,0.0,MSFT
2024-11-12,412.5207686609151,418.6259798148705,411.485163708279,417.23529052734375,19401200,0.0,0.0,MSFT
2024-11-13,415.8643777407356,423.44901221052845,412.481339102593,419.3756103515625,21502200,0.0,0.0,MSFT
2024-11-14,419.17835521776294,422.30494584048273,414.2468451563775,421.04248046875,30246900,0.0,0.0,MSFT
2024-11-15,414.06929022111444,417.0084507566798,407.9739514183208,409.3153076171875,28247600,0.0,0.0,MSFT
2024-11-18,409.18708769998454,412.6687324009395,406.4550421174999,410.0649108886719,24727000,0.0,0.0,MSFT
2024-11-19,407.45119206262405,412.2150474297726,405.9125633985823,412.0671081542969,18133500,0.0,0.0,MSFT
2024-11-20,411.1596548604422,411.57391488876465,404.9558076834049,409.7985534667969,19191700,0.0,0.0,MSFT
2024-11-21,414.5818782779769,414.8585944158468,405.4798626489652,408.02960205078125,20780200,0.83,0.0,MSFT
2024-11-22,406.547145598137,412.50644943843054,406.2407824115055,412.11114501953125,24814600,0.0,0.0,MSFT
2024-11-25,413.4749606494442,416.14328803070504,409.9863472135053,413.8801574707031,27691100,0.0,0.0,MSFT
2024-11-26,414.6707766023476,424.0099980685231,413.93946191933657,422.9722900390625,23458900,0.0,0.0,MSFT
2024-11-27,420.12602422483343,422.2211948203964,417.0722547980022,418.0308837890625,18332400,0.0,0.0,MSFT
2024-11-29,415.16493646523105,419.8987878079345,412.90177557031507,418.49542236328125,16271900,0.0,0.0,MSFT
2024-12-02,416.62759418862754,427.92358362660957,416.37063273208213,425.9272766113281,20207200,0.0,0.0,MSFT
2024-12-03,424.80061260374794,427.3997836787713,422.72522667678595,426.1446838378906,18302000,0.0,0.0,MSFT
2024-12-04,427.95323167121506,434.5153999624501,427.55792723241916,432.2917785644531,26009400,0.0,0.0,MSFT
2024-12-05,432.7859365018672,439.4469085884485,431.0564531129943,437.4308166503906,21697800,0.0,0.0,MSFT
2024-12-06,437.1145294101148,440.8699968788184,436.5907442566123,438.3696594238281,18821000,0.0,0.0,MSFT
2024-12-09,437.4110061952819,443.0738089240489,435.3356203613735,440.7908935546875,19144400,0.0,0.0,MSFT
2024-12-10,439.1800773312265,444.3487425824553,436.42277827381423,438.1324768066406,18469500,0.0,0.0,MSFT
2024-12-11,438.8440482605507,445.07020661100427,438.8440482605507,443.72613525390625,19200200,0.0,0.0,MSFT
2024-12-12,443.8446923743848,450.81205740820604,443.8446923743848,444.2894287109375,20834800,0.0,0.0,MSFT
2024-12-13,443.1825414368637,446.13747735633456,440.3560560775405,442.0262451171875,20177800,0.0,0.0,MSFT
2024-12-16,442.0262333394617,446.87867253224385,440.0595735829624,446.29559326171875,23598800,0.0,0.0,MSFT
2024-12-17,445.72242348242105,449.95224407864544,444.2993034538041,449.1319580078125,22733500,0.0,0.0,MSFT
2024-12-18,446.02882636391814,447.3432204529913,431.89645846414146,432.26214599609375,24444500,0.0,0.0,MSFT
